20636,8569,0.86,7500,0.56,1.8
18703,9998,0.79,7500,0.56,1.9
7187,6439,0.44,7500,0.61,0.1
7622,7067,0.44,7500,0.61,0.2
7925,7282,0.45,7500,0.61,0.3
9792,8377,0.53,7500,0.61,0.4
10279,6851,0.52,7500,0.61,0.5
10308,8665,0.53,7500,0.61,0.6
10325,6659,0.53,7500,0.61,0.7
17212,9348,0.75,7500,0.61,0.8
12799,9629,0.61,7500,0.61,0.9
8445,7644,0.47,7500,0.61,1.0
13555,7122,0.61,7500,0.61,1.1
19878,9376,0.85,7500,0.61,1.2
15321,9961,0.69,7500,0.61,1.3
14241,9865,0.68,7500,0.61,1.4
12555,9571,0.61,7500,0.61,1.5
7785,7238,0.44,7500,0.61,1.6
11230,6508,0.55,7500,0.61,1.7
13623,6702,0.61,7500,0.61,1.8
16825,7286,0.71,7500,0.61,1.9
7669,6683,0.44,7500,0.66,0.1
8249,6825,0.46,7500,0.66,0.2
9030,6879,0.50,7500,0.66,0.3
9960,6983,0.52,7500,0.66,0.4
8245,7502,0.46,7500,0.66,0.5
15951,9522,0.72,7500,0.66,0.6
7741,7168,0.44,7500,0.66,0.7
12313,7148,0.58,7500,0.66,0.8
19470,10191,0.84,7500,0.66,0.9
11332,9236,0.56,7500,0.66,1.0
7721,7150,0.44,7500,0.66,1.1
13431,7115,0.61,7500,0.66,1.2
21747,9788,0.89,7500,0.66,1.3
15610,9977,0.69,7500,0.66,1.4
14564,9925,0.66,7500,0.66,1.5
12915,9664,0.64,7500,0.66,1.6
11070,9042,0.56,7500,0.66,1.7
8145,7475,0.46,7500,0.66,1.8
14179,6875,0.63,7500,0.66,1.9
7429,6529,0.45,7500,0.71,0.1
9003,7253,0.49,7500,0.71,0.2
9818,7617,0.51,7500,0.71,0.3
10591,7530,0.53,7500,0.71,0.4
10700,7563,0.54,7500,0.71,0.5
10646,8971,0.54,7500,0.71,0.6
14888,8491,0.71,7500,0.71,0.7
11289,9221,0.57,7500,0.71,0.8
